date,steps,distance,runDistance,calories
2022-04-02,7806,5766,556,199
2022-04-03,10082,7329,621,246
2022-04-04,12942,9421,576,315
2022-04-05,13251,9535,450,313
2022-04-06,12924,9228,664,308
2022-04-07,7406,5347,348,169
2022-04-08,18370,13699,536,467
2022-04-09,7489,5396,339,183
2022-04-10,8795,6400,468,217
2022-04-11,9052,6658,532,221
2022-04-12,9879,7300,529,242
2022-04-13,9637,7098,487,233
2022-04-14,10043,7302,457,242
2022-04-15,11066,8110,466,275
2022-04-16,10729,7858,408,258
2022-04-17,9360,6819,356,223
2022-04-18,11029,7921,533,263
2022-04-19,12804,9288,286,302
2022-04-20,10888,7776,451,245
2022-04-21,7052,5074,402,172
2022-04-22,12718,9349,618,305
2022-04-23,5871,4110,280,131
2022-04-24,8580,6175,528,208
2022-04-25,8750,6411,422,217
2022-04-26,16481,11877,746,400
2022-04-27,6711,4661,327,150
2022-04-28,8706,6047,514,188
2022-04-29,9932,7228,188,245
2022-04-30,3707,2602,127,88
2022-05-01,9891,7041,242,225
2022-05-02,10345,7231,639,232
2022-05-03,9748,6764,335,221
2022-05-04,7637,5299,426,170
2022-05-05,7873,5464,395,173
2022-05-06,9537,6926,400,230
2022-05-07,8824,6188,504,198
2022-05-08,7325,5077,459,154
2022-05-09,10933,7875,468,260
2022-05-10,9357,6971,411,230
2022-05-11,11123,8081,526,265
2022-05-12,6091,4318,375,143
2022-05-13,12928,9461,290,318
2022-05-14,12321,8853,492,288
2022-05-15,14066,10268,1141,346
2022-05-16,10125,7269,511,240
2022-05-17,14894,10814,425,357
2022-05-18,13556,9914,689,331
2022-05-19,13818,9927,640,330
2022-05-20,11524,8634,508,286
2022-05-21,17911,13179,886,442
2022-05-22,18366,13360,504,442
2022-05-23,7991,5815,186,191
2022-05-24,15321,11301,985,377
2022-05-25,11703,8623,395,288
2022-05-26,22819,16847,868,560
2022-05-27,13174,9535,598,315
2022-05-28,11571,8344,362,280
2022-05-29,9786,7097,426,235
2022-05-30,8638,6322,539,211
2022-05-31,8611,6317,434,209
2022-06-01,9333,6809,352,229
2022-06-02,18758,13611,808,458
2022-06-03,17746,12854,665,437
2022-06-04,21889,16053,837,533
2022-06-05,15617,11337,357,376
2022-06-06,17042,12905,711,434
2022-06-07,13495,9555,388,312
2022-06-08,16302,12118,1091,413
2022-06-09,12555,8983,499,300
2022-06-10,11036,7921,176,259
2022-06-11,9190,6609,208,217
2022-06-12,12315,8943,685,298
2022-06-13,11473,8262,339,264
2022-06-14,12107,8709,411,285
2022-06-15,10189,7353,530,240
2022-06-16,11092,7988,502,267
2022-06-17,11415,8276,374,275
2022-06-18,12360,8960,338,294
2022-06-19,25082,18094,1207,620
2022-06-20,21051,15201,778,506
2022-06-21,17483,12847,861,425
2022-06-22,12066,8376,580,254
2022-06-23,8412,5884,518,191
2022-06-24,15260,10820,725,348
2022-06-25,7157,5013,376,167
2022-06-26,7209,4987,536,152
2022-06-27,8380,5797,649,190
2022-06-28,9993,6935,620,222
2022-06-29,8762,6078,499,197
2022-06-30,7202,5014,541,160
2022-07-01,9573,6771,674,222
2022-07-02,7060,4884,375,159
2022-07-03,7206,5000,465,163
2022-07-04,4676,3235,413,112
2022-07-05,5616,3892,368,126
2022-07-06,5855,4066,468,135
2022-07-07,12998,9182,490,295
2022-07-08,11157,7816,442,251
2022-07-09,14885,10349,953,330
2022-07-10,11264,7797,756,245
2022-07-11,9781,6787,513,221
2022-07-12,9871,6857,435,208
2022-07-13,16912,12181,424,412
2022-07-14,8420,5890,434,185
2022-07-15,6078,4247,359,137
2022-07-16,9812,6830,562,220
2022-07-17,5262,3658,327,122
2022-07-18,9133,6379,409,198
2022-07-19,9711,6998,502,229
2022-07-20,13746,9604,506,298
2022-07-21,8851,6395,428,216
2022-07-22,5987,4178,439,140
2022-07-23,14735,10422,898,322
2022-07-24,12389,8643,515,272
2022-07-25,8280,5764,403,186
2022-07-26,10149,7372,895,253
2022-07-27,8886,6156,455,186
2022-07-28,15279,10927,969,343
2022-07-29,8315,5839,523,189
2022-07-30,13267,9476,724,305
2022-07-31,10983,7617,622,237
2022-08-01,8352,5803,414,182
2022-08-02,12036,8462,613,266
2022-08-03,10513,7344,339,231
2022-08-04,9969,7232,719,235
2022-08-17,6316,4387,386,145
2022-08-18,14880,10666,516,344
2022-08-19,7039,4934,381,156
2022-08-20,11423,8185,783,260
2022-08-21,2286,1653,322,52
2022-08-22,7059,4883,558,155
2022-08-23,9657,6858,431,220
2022-08-24,13286,9277,726,284
2022-08-25,14452,10213,690,320
2022-08-26,9783,6850,498,210
2022-08-27,16371,11494,624,357
2022-08-28,11091,7711,563,235
2022-08-29,10042,7019,560,219
2022-08-30,14252,9988,557,305
2022-08-31,15573,10844,844,329
2022-09-01,9126,6414,309,204
2022-09-02,11264,7917,772,251
2022-09-03,11964,8459,361,263
2022-09-04,14962,10399,756,319
2022-09-05,16388,11596,835,373
2022-09-06,13475,9630,416,309
2022-09-07,11977,8463,447,276
2022-09-08,9882,6991,353,218
2022-09-09,10814,7640,634,243
2022-09-10,15905,11275,527,359
2022-09-11,12676,8830,496,267
2022-09-12,9796,6880,367,218
2022-09-13,13174,9282,587,291
2022-09-14,8581,6015,514,193
2022-09-15,14019,9852,641,308
2022-09-16,11797,8295,683,274
2022-09-17,15202,10753,481,345
2022-09-18,7532,5268,432,176
2022-09-19,9059,6275,553,198
2022-09-20,11882,8381,327,270
2022-09-21,8765,6074,457,191
2022-09-22,14065,9857,530,315
2022-09-23,8721,6114,419,191
2022-09-24,10282,7266,291,221
2022-09-25,10430,7332,590,231
2022-09-26,8749,6073,471,198
2022-09-27,15537,11188,353,362
2022-09-28,11599,8380,454,275
2022-09-29,15211,10884,376,358
2022-09-30,18334,13493,705,439
2022-10-01,13426,9635,403,305
2022-10-02,13418,9480,556,317
2022-10-03,15234,11097,648,361
2022-10-04,16728,11985,623,401
2022-10-05,15998,11433,454,375
2022-10-06,18795,13449,623,445
2022-10-07,16694,12064,521,395
2022-10-08,20579,14694,545,484
2022-10-09,26226,19272,683,635
2022-10-10,15171,10776,427,353
2022-10-11,22227,15806,691,510
2022-10-12,16223,11862,663,393
2022-10-13,16209,11513,466,383
2022-10-14,16691,12235,607,411
2022-10-15,14184,10131,294,330
2022-10-16,13282,9542,619,313
2022-10-17,21016,15413,717,507
2022-10-18,13164,9411,383,319
2022-10-19,16641,12119,568,397
